Columbia IPS Rain Gage - 5001 N. Columbia Blvd.

PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.
Data are the number of tips of the rain gage bucket.
Each tip is 0.01 inches of rainfall.
 [-, missing data]
Dates and times are PACIFIC STANDARD TIME.

            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
------------------------------------------------------------------------------------------------------------------
03-JAN-2020     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
02-JAN-2020     5    0   0   0   0   0   0   0   0   0   2   1   1   0   0   0   0   0   1   0   0   0   0   0   0
01-JAN-2020    13    1   3   0   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   7   0   0   0   0   0
31-DEC-2019    28    0   0   0   0   0   0   0   0   1   0   0   0   2   0   0  10   2   1   0   6   6   0   0   0
30-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-DEC-2019     9    0   0   0   0   0   1   0   0   0   0   0   8   0   0   0   0   0   0   0   0   0   0   0   0
28-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
27-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
26-DEC-2019     2    0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1
25-DEC-2019     6    1   2   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
24-DEC-2019     3    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   2
23-DEC-2019     8    0   1   0   5   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
22-DEC-2019    19    0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   4   5   2   3   1   2   0   1
21-DEC-2019   110   12   6   6   7   7   8  10  12  11   6   5   6   5   2   5   2   0   0   0   0   0   0   0   0
20-DEC-2019    78    2   0   0   0   0   0   1  18   6   2   5   6   4   2   1   2   1   3   2   2   1   3   5  12
19-DEC-2019    69    2   3   6   0   0   0   0   0   0   8  12   9   8   3   0   4   5   2   0   0   4   0   1   2
18-DEC-2019    19    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   3   6   3   0
17-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
15-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
14-DEC-2019     1    0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
13-DEC-2019     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
12-DEC-2019    47    0   0   0   0   0   0   0   0   2   6   3  14  13   0   0   0   0   0   0   0   8   1   0   0
11-DEC-2019    39    1   0   1   1   0   2   1   0   0   0   0   0   2   5   1   1   1   2   7   2   9   3   0   0
10-DEC-2019    46    0   0   0   0   0   0   0   0   0   0   0   3   4   7   7   6   6   3   4   2   1   1   1   1
